1920.000000 +j*1920.000000  643.499451 +j*-128.000000  309.019348 +j*-128.000000  191.565521 +j*-128.000000  128.000000 +j*-128.000000  85.526855 +j*-128.000000  53.019333 +j*-128.000000  25.460785 +j*-128.000000  0.000000 +j*-128.000000  -25.460785 +j*-128.000000  -53.019333 +j*-128.000000  -85.526855 +j*-128.000000  -128.000000 +j*-128.000000  -191.565521 +j*-128.000000  -309.019348 +j*-128.000000  -643.499451 +j*-128.000000   
-128.000000 +j*-643.499451  0.000000 +j*0.000000  0.000000 +j*0.000000  0.000000 +j*0.000000  0.000000 +j*0.000000  0.000000 +j*0.000000  0.000000 +j*0.000000  0.000000 +j*0.000000  0.000000 +j*0.000000  0.000000 +j*0.000000  0.000000 +j*0.000000  0.000000 +j*0.000000  0.000000 +j*0.000000  0.000000 +j*0.000000  0.000000 +j*0.000000  0.000000 +j*0.000000   
-128.000000 +j*-309.019348  0.000000 +j*0.000000  0.000000 +j*0.000000  0.000000 +j*0.000000  0.000000 +j*0.000000  0.000000 +j*0.000000  0.000000 +j*0.000000  0.000000 +j*0.000000  0.000000 +j*0.000000  0.000000 +j*0.000000  0.000000 +j*0.000000  0.000000 +j*0.000000  0.000000 +j*0.000000  0.000000 +j*0.000000  0.000000 +j*0.000000  0.000000 +j*0.000000   
-128.000000 +j*-191.565521  0.000000 +j*0.000000  0.000000 +j*0.000000  0.000000 +j*0.000000  0.000000 +j*0.000000  0.000000 +j*0.000000  0.000000 +j*0.000000  0.000000 +j*0.000000  0.000000 +j*0.000000  0.000000 +j*0.000000  0.000000 +j*0.000000  0.000000 +j*0.000000  0.000000 +j*0.000000  0.000000 +j*0.000000  0.000000 +j*0.000000  0.000000 +j*0.000000   
-128.000000 +j*-128.000000  0.000000 +j*0.000000  0.000000 +j*0.000000  0.000000 +j*0.000000  0.000000 +j*0.000000  0.000000 +j*0.000000  0.000000 +j*0.000000  0.000000 +j*0.000000  0.000000 +j*0.000000  0.000000 +j*0.000000  0.000000 +j*0.000000  0.000000 +j*0.000000  0.000000 +j*0.000000  0.000000 +j*0.000000  0.000000 +j*0.000000  0.000000 +j*0.000000   
-128.000000 +j*-85.526855  0.000000 +j*0.000000  0.000000 +j*0.000000  0.000000 +j*0.000000  0.000000 +j*0.000000  0.000000 +j*0.000000  0.000000 +j*0.000000  0.000000 +j*0.000000  0.000000 +j*0.000000  0.000000 +j*0.000000  0.000000 +j*0.000000  0.000000 +j*0.000000  0.000000 +j*0.000000  0.000000 +j*0.000000  0.000000 +j*0.000000  0.000000 +j*0.000000   
-128.000000 +j*-53.019333  0.000000 +j*0.000000  0.000000 +j*0.000000  0.000000 +j*0.000000  0.000000 +j*0.000000  0.000000 +j*0.000000  0.000000 +j*0.000000  0.000000 +j*0.000000  0.000000 +j*0.000000  0.000000 +j*0.000000  0.000000 +j*0.000000  0.000000 +j*0.000000  0.000000 +j*0.000000  0.000000 +j*0.000000  0.000000 +j*0.000000  0.000000 +j*0.000000   
-128.000000 +j*-25.460785  0.000000 +j*0.000000  0.000000 +j*0.000000  0.000000 +j*0.000000  0.000000 +j*0.000000  0.000000 +j*0.000000  0.000000 +j*0.000000  0.000000 +j*0.000000  0.000000 +j*0.000000  0.000000 +j*0.000000  0.000000 +j*0.000000  0.000000 +j*0.000000  0.000000 +j*0.000000  0.000000 +j*0.000000  0.000000 +j*0.000000  0.000000 +j*0.000000   
-128.000000 +j*0.000000  0.000000 +j*0.000000  0.000000 +j*0.000000  0.000000 +j*0.000000  0.000000 +j*0.000000  0.000000 +j*0.000000  0.000000 +j*0.000000  0.000000 +j*0.000000  0.000000 +j*0.000000  0.000000 +j*0.000000  0.000000 +j*0.000000  0.000000 +j*0.000000  0.000000 +j*0.000000  0.000000 +j*0.000000  0.000000 +j*0.000000  0.000000 +j*0.000000   
-128.000000 +j*25.460785  0.000000 +j*0.000000  0.000000 +j*0.000000  0.000000 +j*0.000000  0.000000 +j*0.000000  0.000000 +j*0.000000  0.000000 +j*0.000000  0.000000 +j*0.000000  0.000000 +j*0.000000  0.000000 +j*0.000000  0.000000 +j*0.000000  0.000000 +j*0.000000  0.000000 +j*0.000000  0.000000 +j*0.000000  0.000000 +j*0.000000  0.000000 +j*0.000000   
-128.000000 +j*53.019333  0.000000 +j*0.000000  0.000000 +j*0.000000  0.000000 +j*0.000000  0.000000 +j*0.000000  0.000000 +j*0.000000  0.000000 +j*0.000000  0.000000 +j*0.000000  0.000000 +j*0.000000  0.000000 +j*0.000000  0.000000 +j*0.000000  0.000000 +j*0.000000  0.000000 +j*0.000000  0.000000 +j*0.000000  0.000000 +j*0.000000  0.000000 +j*0.000000   
